Species	n	Positive	Negative
Phengaris_teleius_teleius	1	0	1
Phengaris_teleius_teleius	1	0	1
Phengaris_teleius_teleius	1	0	1
Phengaris_teleius_teleius	1	0	1
Phengaris_teleius_teleius	1	0	1
Phengaris_teleius_teleius	1	0	1
Phengaris_teleius_teleius	1	0	1
Phengaris_teleius_teleius	1	0	1
Phengaris_teleius_teleius	1	0	1
Phengaris_teleius_teleius	1	0	1
Phengaris_teleius_teleius	1	0	1
Phengaris_teleius_teleius	1	0	1
Phengaris_teleius_teleius	1	0	1
Phengaris_teleius_teleius	1	0	1
Phengaris_teleius_teleius	1	0	1
Phengaris_teleius_teleius	1	0	1
Phengaris_teleius_teleius	1	0	1
Phengaris_teleius_teleius	1	0	1
Phengaris_teleius_teleius	1	0	1
Phengaris_teleius_teleius	1	0	1
Phengaris_teleius_teleius	1	0	1
Phengaris_teleius_teleius	1	0	1
Phengaris_teleius_teleius	1	0	1
Phengaris_teleius_teleius	1	0	1
Phengaris_teleius_teleius	1	0	1
Phengaris_teleius_teleius	1	0	1
Phengaris_teleius_teleius	1	0	1
Phengaris_teleius_teleius	1	0	1
Phengaris_teleius_teleius	1	0	1
Phengaris_teleius_teleius	1	0	1
Phengaris_teleius_teleius	1	0	1
Phengaris_teleius_teleius	1	0	1
Phengaris_teleius_teleius	1	0	1
Phengaris_teleius_teleius	1	0	1
Phengaris_teleius_teleius	1	0	1
Phengaris_teleius_teleius	1	1	0
Phengaris_teleius_teleius	1	0	1
Phengaris_teleius_teleius	1	0	1
Phengaris_teleius_teleius	1	0	1
Phengaris_teleius_teleius	1	0	1
Phengaris_teleius_teleius	1	0	1
Phengaris_teleius_teleius	1	0	1
Phengaris_teleius_teleius	1	0	1
Phengaris_teleius_teleius	1	0	1
Phengaris_teleius_teleius	1	0	1
Phengaris_teleius_teleius	1	0	1
Phengaris_teleius_teleius	1	0	1
Phengaris_teleius_teleius	1	0	1
Phengaris_teleius_teleius	1	0	1
Phengaris_teleius_teleius	1	0	1
Phengaris_teleius_teleius	1	0	1
Phlyaria_cyara	1	0	1
Phyciodes_batesii	1	0	1
Phyllonorycter_blancardella	60	60	0
Phyllonorycter_blancardella	2	2	0
Phyllonorycter_coryli	2	0	2
Phyllonorycter_corylifoliella	1	0	1
Phyllonorycter_emberizaepenella	1	0	1
Phyllonorycter_froelichiella	1	1	0
Phyllonorycter_geniculella	1	0	1
Phyllonorycter_harrisella	2	2	0
Phyllonorycter_kleemannella	1	0	1
Phyllonorycter_lautella	1	0	1
Phyllonorycter_maestingella	2	0	2
Phyllonorycter_maestingella	1	0	1
Phyllonorycter_maestingella	1	0	1
Phyllonorycter_maestingella	1	0	1
Phyllonorycter_nicellii	1	0	1
Phyllonorycter_oxyacanthae	2	0	2
Phyllonorycter_quinnata	2	2	0
Phyllonorycter_rajella	1	0	1
Phyllonorycter_schreberella	1	1	0
Phyllonorycter_sorbi	1	0	1
Phyllonorycter_stettinensis	1	0	1
Phyllonorycter_tristrigella	2	0	2
Phyllonorycter_ulmifoliella	1	1	0
Pieris_brassicae	7	0	7
Pieris_melete	8	0	8
Pieris_rapae	90	5	85
Pieris_rapae	7	0	7
Pieris_rapae	39	1	38
Pieris_rapae	56	0	56
Pieris_rapae	161	5	156
Pieris_rapae	4	4	0
Pieris_rapae	NA	NA	NA
Plebejus_idas_nabokovi	2	1	1
Plebejus_saepiolus	10	2	8
Plodia_interpunctella	12	0	12
Plodia_interpunctella	NA	NA	NA
Plutella_xylostella	NA	NA	NA
Plutella_xylostella	122	10	112
Plutella_xylostella	73	0	73
Plutella_xylostella	41	5	36
Plutella_xylostella	24	0	24
Plutella_xylostella	6	0	6
Plutella_xylostella	10	0	10
Plutella_xylostella	10	0	10
Plutella_xylostella	5	0	5
Plutella_xylostella	5	2	3
Plutella_xylostella	10	0	10
Polites_mardon	1	1	0
Polites_sabuleti_albomontana	1	1	0
Polygonia_c-aureum	85	82	3
Polygonia_c-aureum	2	1	1
Polytremis_pellucida	1	0	1
Polyura_athamas	1	0	1
Poritia_erycinoides	1	0	1
Poritia_sumatrae	1	0	1
Precis_iphita	2	1	1
Pseudaletis_clymenus	1	0	1
Pseudalmenus_chlorinda	1	0	1
Pseudonacaduba_aethiops	1	0	1
Pseudozizeeria_maha	2	2	0
Ptelina_carnuta	1	0	1
Pyrgus_ruralis_lagunae	7	1	6
Rapala_varuna	1	0	1
Rathinda_amor	1	0	1
Salatura_genutia_genutia	4	0	4
Sarcopolia_illoba	10	5	5
Schinia_lucens	1	1	0
Scirpophaga_incertulas	20	2	18
Scirpophaga_incertulas	NA	NA	NA
Sesamia_calamistis	22	0	22
Sesamia_inferens	4	0	4
Simiskina_pheretia	1	0	1
Sinthusa_malika	1	0	1
Spalgis_epius	1	1	0
Spalgis_lemolea	1	0	1
Speyeria_diana	1	1	0
Speyeria_idalia	1	1	0
Speyeria_idalia	1	1	0
Speyeria_idalia	1	1	0
Speyeria_zerene_hippolyta	66	2	64
Spilosoma_oblique	NA	NA	NA
Spodoptera_exempta	59	43	16
Spodoptera_litura	NA	NA	NA
Strymon_melinos	1	0	1
Strymon_spini	1	0	1
Surendra_florimel	1	0	1
Surendra_vivarna	1	1	0
Talicada_nyseus	60	30	30
Talicada_nyseus	3	3	0
Tanaecia_julii	1	0	1
Taractrocera_ceramus	2	1	1
Tarucus_nara	1	1	0
Telicota_ancilla	1	0	1
Terias_hecabe	NA	NA	NA
Thecla_coelicolor	1	0	1
Theritas_mavors	1	0	1
Thersamonia_thersamon	1	1	0
Thestor_swanepoeli	1	0	1
Tholera_cespitis	1	0	1
Thymelicus_lineola	15	15	0
Thymelicus_sylvestris	23	23	0
Tiracola_plagiata	NA	NA	NA
Tirumala_limniace	30	0	30
Tirumala_limniace	2	1	1
Tirumala_septentrionis	1	0	1
Tmolus_echion	1	0	1
Tomares_ballus	1	0	1
Triclema_hades	1	0	1
Triodia_sylvina	4	4	0
Tuta_absoluta	NA	NA	NA
Tuta_absoluta	NA	NA	NA
Udaspes_folus	1	1	0
Uranothauma_falkensteini	1	0	1
Ussuriana_stygiana	7	1	6
Vanessa_cardui	1	0	1
Vanessa_indica	1	0	1
Vanessa_virginiensis	1	0	1
Xestia_c-nigrum	1	1	0
Xestia_xanthographa	1	0	1
Yasoda_pita	1	0	1
Ypthima_argus	4	2	2
Ypthima_asterope	5	1	4
Ypthima_sp	1	0	1
Zetona_delospilia	1	0	1
Zintha_hintza	1	0	1
Zizeeria_knysna	2	2	0
Zizeeria_maha	16	13	3
Zizeeria_maha	81	78	3
Zizeeria_maha	6	2	4
Zizula_hylax	1	0	1
