Species,Family,n,Positive,Negative
Ostrinia,Pyralidae,4,1,3
Ostrinia,Pyralidae,20,1,19
Ostrinia,Pyralidae,3,1,2
Ostrinia,Pyralidae,22,2,20
Ostrinia,Pyralidae,5,0,5
Ostrinia,Pyralidae,9,0,9
Ostrinia,Pyralidae,1,0,1
Ostrinia,Pyralidae,2,1,1
Ostrinia,Pyralidae,1,0,1
Ostrinia,Pyralidae,4,0,4
Ostrinia,Pyralidae,6,0,6
Oxylides,Lycaenidae,1,0,1
Pachliopta ,Papilionidae,1,0,1
Pandemis ,Tortricidae,1,0,1
Panthiades ,Lycaenidae,1,0,1
Papaipema ,Noctuidae,1,1,0
Papaipema ,Noctuidae,1,1,0
Papaipema ,Noctuidae,1,1,0
Papilio ,Papilionidae,30,0,30
Papilio ,Papilionidae,2,1,1
Papilio,Papilionidae,1,0,1
Papilio,Papilionidae,60,30,30
Papilio,Papilionidae,4,0,4
Papilio,Papilionidae,3,0,3
Papilio ,Papilionidae,1,0,1
Parantica ,Nymphalidae,2,1,1
Pareronia ,Pieridae,2,2,0
Parnara ,Hesperiidae,NA,NA,NA
Parnassius ,Papilionidae,2,0,2
Parornix ,Gracillariidae,2,2,0
Pelopidas ,Hesperiidae,1,0,1
Pentila ,Lycaenidae,1,0,1
Peridroma ,Noctuidae,1,0,1
Phengaris ,Lycaenidae,1,1,0
Phengaris ,Lycaenidae,1,0,1
Phengaris ,Lycaenidae,1,0,1
Phengaris ,Lycaenidae,1,0,1
Phengaris ,Lycaenidae,1,0,1
Phengaris ,Lycaenidae,1,0,1
Phengaris ,Lycaenidae,1,0,1
Phengaris ,Lycaenidae,1,0,1
Phengaris ,Lycaenidae,1,0,1
Phengaris ,Lycaenidae,1,0,1
Phengaris ,Lycaenidae,1,0,1
Phengaris ,Lycaenidae,1,0,1
Phengaris ,Lycaenidae,1,0,1
Phengaris ,Lycaenidae,1,0,1
Phengaris ,Lycaenidae,1,0,1
Phengaris ,Lycaenidae,1,0,1
Phengaris ,Lycaenidae,1,0,1
Phengaris ,Lycaenidae,1,0,1
Phengaris ,Lycaenidae,1,0,1
Phengaris ,Lycaenidae,1,1,0
Phengaris ,Lycaenidae,1,0,1
Phengaris ,Lycaenidae,1,0,1
Phengaris ,Lycaenidae,1,0,1
Phengaris ,Lycaenidae,1,0,1
Phengaris ,Lycaenidae,1,0,1
Phengaris ,Lycaenidae,1,0,1
Phengaris ,Lycaenidae,1,0,1
Phengaris ,Lycaenidae,1,0,1
Phengaris ,Lycaenidae,1,0,1
Phengaris ,Lycaenidae,1,1,0
Phengaris ,Lycaenidae,1,0,1
Phengaris ,Lycaenidae,1,0,1
Phengaris ,Lycaenidae,1,0,1
Phengaris ,Lycaenidae,1,0,1
Phengaris ,Lycaenidae,1,0,1
Phengaris ,Lycaenidae,1,0,1
Phengaris ,Lycaenidae,1,0,1
Phengaris ,Lycaenidae,1,0,1
Phengaris ,Lycaenidae,1,0,1
Phengaris ,Lycaenidae,1,0,1
Phengaris ,Lycaenidae,1,0,1
Phengaris ,Lycaenidae,1,0,1
Phengaris ,Lycaenidae,1,0,1
Phengaris ,Lycaenidae,1,0,1
Phengaris ,Lycaenidae,1,0,1
