Genus	species	n	Positive	Negative
Ostrinia	zaguliaevi	9	0	9
Ostrinia	zaguliaevi	1	0	1
Ostrinia	zaguliaevi	2	1	1
Ostrinia	zealis	1	0	1
Ostrinia	zealis	4	0	4
Ostrinia	zealis	6	0	6
Oxylides	faunas	1	0	1
Pachliopta	aristolochiae	1	0	1
Pandemis	corylana	1	0	1
Panthiades	aeolus	1	0	1
Papaipema	beeriana	1	1	0
Papaipema	sciata	1	1	0
Papaipema	silphii	1	1	0
Papilio	demoleus	30	0	30
Papilio	demoleus	2	1	1
Papilio	memnon	1	0	1
Papilio	polymnestor	60	30	30
Papilio	polytes	4	0	4
Papilio	polytes polytes	3	0	3
Papilio	xuthus	1	0	1
Parantica	aglea	2	1	1
Pareronia	valeria	2	2	0
Parnara	mathias	NA	NA	NA
Parnassius	glacialis	2	0	2
Parornix	devoniella	2	2	0
Pelopidas	mathias	1	0	1
Pentila	pauli	1	0	1
Peridroma	saucia	1	0	1
Phengaris	alcon	1	1	0
Phengaris	nausithous	1	0	1
Phengaris	nausithous	1	0	1
Phengaris	nausithous	1	0	1
Phengaris	nausithous	1	0	1
Phengaris	nausithous	1	0	1
Phengaris	nausithous	1	0	1
Phengaris	nausithous	1	0	1
Phengaris	nausithous	1	0	1
Phengaris	nausithous	1	0	1
Phengaris	nausithous	1	0	1
Phengaris	nausithous	1	0	1
Phengaris	nausithous	1	0	1
Phengaris	nausithous	1	0	1
Phengaris	nausithous	1	0	1
Phengaris	nausithous	1	0	1
Phengaris	nausithous	1	0	1
Phengaris	nausithous	1	0	1
Phengaris	nausithous	1	0	1
Phengaris	nausithous	1	1	0
Phengaris	nausithous	1	0	1
Phengaris	nausithous	1	0	1
Phengaris	nausithous	1	0	1
Phengaris	nausithous	1	0	1
Phengaris	nausithous	1	0	1
Phengaris	nausithous	1	0	1
Phengaris	nausithous	1	0	1
Phengaris	nausithous	1	0	1
Phengaris	nausithous	1	0	1
Phengaris	nausithous	1	1	0
Phengaris	nausithous	1	0	1
Phengaris	nausithous	1	0	1
Phengaris	nausithous	1	0	1
Phengaris	nausithous	1	0	1
Phengaris	nausithous	1	0	1
Phengaris	nausithous	1	0	1
Phengaris	nausithous	1	0	1
Phengaris	nausithous	1	0	1
Phengaris	nausithous	1	0	1
Phengaris	nausithous	1	0	1
Phengaris	nausithous	1	0	1
Phengaris	nausithous	1	0	1
Phengaris	nausithous	1	0	1
Phengaris	nausithous	1	0	1
Phengaris	nausithous	1	0	1
Phengaris	nausithous	1	0	1
Phengaris	nausithous	1	0	1
Phengaris	nausithous	1	0	1
Phengaris	nausithous	1	0	1
Phengaris	nausithous	1	0	1
Phengaris	nausithous	1	0	1
Phengaris	nausithous	1	1	0
Phengaris	nausithous	1	0	1
Phengaris	nausithous	1	0	1
Phengaris	nausithous	1	0	1
Phengaris	nausithous	1	0	1
Phengaris	nausithous	1	0	1
Phengaris	nausithous	1	0	1
Phengaris	nausithous	1	0	1
Phengaris	nausithous	1	0	1
Phengaris	nausithous	1	0	1
Phengaris	nausithous	1	0	1
Phengaris	nausithous	1	0	1
Phengaris	nausithous	1	0	1
Phengaris	nausithous	1	0	1
Phengaris	nausithous	1	0	1
Phengaris	nausithous	1	0	1
Phengaris	nausithous	1	0	1
Phengaris	nausithous	1	0	1
Phengaris	nausithous	1	0	1
Phengaris	nausithous	1	0	1
Phengaris	nausithous	1	0	1
Phengaris	nausithous	1	0	1
Phengaris	nausithous	1	0	1
Phengaris	nausithous	1	0	1
Phengaris	nausithous	1	0	1
Phengaris	nausithous	1	0	1
Phengaris	nausithous	1	0	1
Phengaris	nausithous	1	0	1
Phengaris	nausithous	1	0	1
Phengaris	nausithous	1	0	1
Phengaris	nausithous	1	0	1
Phengaris	nausithous	1	0	1
Phengaris	nausithous	1	0	1
Phengaris	nausithous	1	0	1
Phengaris	nausithous	1	0	1
Phengaris	nausithous	1	0	1
Phengaris	nausithous	1	0	1
Phengaris	nausithous	1	0	1
Phengaris	nausithous	1	0	1
Phengaris	nausithous	1	0	1
Phengaris	nausithous	1	0	1
Phengaris	nausithous	1	0	1
Phengaris	nausithous	1	0	1
Phengaris	nausithous	1	0	1
Phengaris	nausithous	1	0	1
Phengaris	nausithous	1	0	1
Phengaris	nausithous	1	0	1
Phengaris	nausithous	1	0	1
Phengaris	nausithous	1	0	1
Phengaris	nausithous	1	0	1
Phengaris	nausithous	1	0	1
Phengaris	nausithous	1	1	0
Phengaris	nausithous	1	0	1
Phengaris	nausithous	1	0	1
Phengaris	nausithous	1	0	1
Phengaris	nausithous	1	0	1
Phengaris	nausithous	1	0	1
Phengaris	nausithous	1	1	0
Phengaris	nausithous	1	0	1
Phengaris	nausithous	1	0	1
Phengaris	teleius	1	0	1
Phengaris	teleius	1	0	1
Phengaris	teleius	1	0	1
Phengaris	teleius	1	0	1
Phengaris	teleius	1	0	1
Phengaris	teleius	1	0	1
Phengaris	teleius	1	0	1
Phengaris	teleius	1	0	1
Phengaris	teleius	1	0	1
Phengaris	teleius	1	1	0
Phengaris	teleius	1	0	1
Phengaris	teleius	1	0	1
Phengaris	teleius	1	0	1
Phengaris	teleius	1	1	0
Phengaris	teleius	1	0	1
Phengaris	teleius	1	0	1
Phengaris	teleius	1	0	1
Phengaris	teleius	1	0	1
Phengaris	teleius	1	0	1
Phengaris	teleius	1	0	1
Phengaris	teleius	1	0	1
Phengaris	teleius	1	0	1
Phengaris	teleius	1	1	0
Phengaris	teleius	1	0	1
Phengaris	teleius	1	0	1
Phengaris	teleius	1	1	0
Phengaris	teleius	1	0	1
Phengaris	teleius	1	0	1
Phengaris	teleius	1	0	1
Phengaris	teleius	1	0	1
Phengaris	teleius	1	0	1
Phengaris	teleius	1	0	1
Phengaris	teleius	1	0	1
Phengaris	teleius	1	0	1
Phengaris	teleius	1	0	1
Phengaris	teleius	1	0	1
Phengaris	teleius	1	0	1
Phengaris	teleius	1	0	1
Phengaris	teleius	1	0	1
Phengaris	teleius	1	0	1
Phengaris	teleius	1	0	1
Phengaris	teleius	1	0	1
Phengaris	teleius	1	0	1
Phengaris	teleius	1	0	1
Phengaris	teleius	1	0	1
Phengaris	teleius	1	0	1
Phengaris	teleius	1	0	1
Phengaris	teleius	1	0	1
Phengaris	teleius	1	0	1
Phengaris	teleius	1	0	1
Phengaris	teleius	1	0	1
Phengaris	teleius	1	0	1
Phengaris	teleius	1	1	0
Phengaris	teleius	1	1	0
Phengaris	teleius	1	1	0
Phengaris	teleius	1	0	1
Phengaris	teleius	1	1	0
Phengaris	teleius	1	1	0
Phengaris	teleius	1	0	1
Phengaris	teleius	1	1	0
Phengaris	teleius	1	1	0
Phengaris	teleius	1	1	0
Phengaris	teleius	1	1	0
Phengaris	teleius	1	1	0
Phengaris	teleius	1	1	0
Phengaris	teleius	1	1	0
Phengaris	teleius	1	0	1
Phengaris	teleius	1	0	1
Phengaris	teleius	1	0	1
Phengaris	teleius	1	0	1
Phengaris	teleius	1	1	0
Phengaris	teleius	1	0	1
Phengaris	teleius	1	0	1
Phengaris	teleius	1	0	1
Phengaris	teleius	1	0	1
Phengaris	teleius	1	0	1
Phengaris	teleius	1	0	1
Phengaris	teleius	1	0	1
Phengaris	teleius	1	0	1
Phengaris	teleius	1	0	1
Phengaris	teleius	1	0	1
Phengaris	teleius	1	0	1
Phengaris	teleius	1	0	1
Phengaris	teleius	1	0	1
Phengaris	teleius	1	0	1
Phengaris	teleius	1	0	1
Phengaris	teleius	1	0	1
Phengaris	teleius	1	0	1
Phengaris	teleius	1	0	1
Phengaris	teleius	1	1	0
Phengaris	teleius	1	0	1
Phengaris	teleius	1	0	1
Phengaris	teleius	1	0	1
Phengaris	teleius	1	0	1
Phengaris	teleius	1	0	1
Phengaris	teleius	1	0	1
Phengaris	teleius	1	0	1
Phengaris	teleius	1	0	1
Phengaris	teleius	1	0	1
Phengaris	teleius	1	0	1
Phengaris	teleius	1	0	1
Phengaris	teleius	1	0	1
Phengaris	teleius	1	0	1
Phengaris	teleius	1	0	1
Phengaris	teleius	1	0	1
Phengaris	teleius	1	0	1
Phengaris	teleius	1	0	1
Phengaris	teleius	1	0	1
Phengaris	teleius	1	0	1
Phengaris	teleius	1	0	1
Phengaris	teleius	1	0	1
Phengaris	teleius	1	0	1
Phengaris	teleius	1	0	1
Phengaris	teleius	1	0	1
Phengaris	teleius	1	0	1
Phengaris	teleius	1	0	1
Phengaris	teleius	1	0	1
Phengaris	teleius	1	0	1
Phengaris	teleius	1	0	1
Phengaris	teleius	1	0	1
Phengaris	teleius	1	0	1
Phengaris	teleius	1	0	1
Phengaris	teleius	1	0	1
Phengaris	teleius	1	0	1
Phengaris	teleius	1	0	1
Phengaris	teleius	1	0	1
Phengaris	teleius	1	0	1
Phengaris	teleius	1	0	1
Phengaris	teleius	1	0	1
Phengaris	teleius	1	0	1
Phengaris	teleius	1	0	1
Phengaris	teleius	1	1	0
Phengaris	teleius	1	0	1
Phengaris	teleius	1	0	1
Phengaris	teleius	1	0	1
Phengaris	teleius	1	0	1
Phengaris	teleius	1	0	1
Phengaris	teleius	1	0	1
Phengaris	teleius	1	0	1
Phengaris	teleius	1	0	1
Phengaris	teleius	1	0	1
Phengaris	teleius	1	0	1
Phengaris	teleius	1	0	1
Phengaris	teleius	1	0	1
Phengaris	teleius	1	0	1
Phengaris	teleius	1	0	1
Phengaris	teleius	1	0	1
Phlyaria	cyara	1	0	1
Phyciodes	batesii	1	0	1
Phyllonorycter	blancardella	60	60	0
Phyllonorycter	blancardella	2	2	0
Phyllonorycter	coryli	2	0	2
Phyllonorycter	corylifoliella	1	0	1
Phyllonorycter	emberizaepenella	1	0	1
Phyllonorycter	froelichiella	1	1	0
Phyllonorycter	geniculella	1	0	1
Phyllonorycter	harrisella	2	2	0
Phyllonorycter	kleemannella	1	0	1
Phyllonorycter	lautella	1	0	1
Phyllonorycter	maestingella	2	0	2
Phyllonorycter	maestingella	1	0	1
Phyllonorycter	maestingella	1	0	1
Phyllonorycter	maestingella	1	0	1
Phyllonorycter	nicellii	1	0	1
Phyllonorycter	oxyacanthae	2	0	2
Phyllonorycter	quinnata	2	2	0
Phyllonorycter	rajella	1	0	1
Phyllonorycter	schreberella	1	1	0
Phyllonorycter	sorbi	1	0	1
Phyllonorycter	stettinensis	1	0	1
Phyllonorycter	tristrigella	2	0	2
Phyllonorycter	ulmifoliella	1	1	0
Pieris	brassicae	7	0	7
Pieris	melete	8	0	8
Pieris	rapae	90	5	85
Pieris	rapae	7	0	7
Pieris	rapae	39	1	38
Pieris	rapae	56	0	56
Pieris	rapae	161	5	156
Pieris	rapae	4	4	0
Pieris	rapae	NA	NA	NA
Plebejus	idas nabokovi	2	1	1
Plebejus	saepiolus	10	2	8
Plodia	interpunctella	12	0	12
Plodia	interpunctella	NA	NA	NA
Plutella	xylostella	NA	NA	NA
Plutella	xylostella	122	10	112
Plutella	xylostella	73	0	73
Plutella	xylostella	41	5	36
Plutella	xylostella	24	0	24
Plutella	xylostella	6	0	6
Plutella	xylostella	10	0	10
Plutella	xylostella	10	0	10
Plutella	xylostella	5	0	5
Plutella	xylostella	5	2	3
Plutella	xylostella	10	0	10
Polites	mardon	1	1	0
Polites	sabuleti	1	1	0
Polygonia	c-aureum	85	82	3
Polygonia	c-aureum	2	1	1
Polytremis	pellucida	1	0	1
Polyura	athamas	1	0	1
Poritia	erycinoides	1	0	1
Poritia	sumatrae	1	0	1
Precis	 iphita	2	1	1
Pseudaletis	clymenus	1	0	1
Pseudalmenus	chlorinda	1	0	1
Pseudonacaduba	 aethiops	1	0	1
Pseudozizeeria	maha	2	2	0
Ptelina	carnuta	1	0	1
Pyrgus	ruralis	7	1	6
Rapala	varuna	1	0	1
Rathinda	amor	1	0	1
Salatura	genutia	4	0	4
Sarcopolia	illoba	10	5	5
Schinia	lucens	1	1	0
Scirpophaga	incertulas	20	2	18
Scirpophaga	incertulas	NA	NA	NA
Sesamia	calamistis	22	0	22
Sesamia	inferens	4	0	4
Simiskina	pheretia	1	0	1
Sinthusa	malika	1	0	1
Spalgis	epius	1	1	0
Spalgis	lemolea	1	0	1
Speyeria	diana	1	1	0
Speyeria	 idalia	1	1	0
Speyeria	 idalia	1	1	0
Speyeria	 idalia	1	1	0
Speyeria	zerene	66	2	64
Spilosoma	oblique	NA	NA	NA
Spodoptera	exempta	59	43	16
Spodoptera	litura	NA	NA	NA
Strymon	melinos	1	0	1
Strymon	spini	1	0	1
Surendra	florimel	1	0	1
Surendra	 vivarna	1	1	0
Talicada	nyseus	60	30	30
Talicada	nyseus	3	3	0
Tanaecia	 julii	1	0	1
Taractrocera	ceramus	2	1	1
Tarucus	nara	1	1	0
Telicota	ancilla	1	0	1
Terias	hecabe	NA	NA	NA
Thecla	coelicolor	1	0	1
Theritas	mavors	1	0	1
Thersamonia	thersamon	1	1	0
Thestor	swanepoeli	1	0	1
Tholera	cespitis	1	0	1
Thymelicus	lineola	15	15	0
Thymelicus	sylvestris	23	23	0
Tiracola	plagiata	NA	NA	NA
Tirumala	limniace	30	0	30
Tirumala	limniace	2	1	1
Tirumala	septentrionis	1	0	1
Tmolus	echion	1	0	1
Tomares	ballus	1	0	1
Triclema	hades	1	0	1
Triodia	sylvina	4	4	0
Tuta	absoluta	NA	NA	NA
Tuta	absoluta	NA	NA	NA
Udaspes	folus	1	1	0
Uranothauma	falkensteini	1	0	1
Ussuriana	stygiana	7	1	6
Vanessa	cardui	1	0	1
Vanessa	indica	1	0	1
Vanessa	virginiensis	1	0	1
Xestia	c-nigrum	1	1	0
Xestia	xanthographa	1	0	1
Yasoda	pita	1	0	1
Ypthima	argus	4	2	2
Ypthima	asterope	5	1	4
Ypthima	sp.	1	0	1
Zetona	delospilia	1	0	1
Zintha	hintza	1	0	1
Zizeeria	knysna	2	2	0
Zizeeria	maha	16	13	3
Zizeeria	maha	81	78	3
Zizeeria	maha	6	2	4
Zizula	hylax	1	0	1
