Superfamily,Family,Genus,species,Code name3
Lasiocampoidea,Lasiocampidae,Lasiocampa,quercus,Lquercus
Gelechioidea,Xyloryctidae,Leistarcha,scitissimella,Lsci
Zygaenoidea,Lacturidae,Lactura,subfervens,Lsub
Thyridoidea,Thyrididae,Rhodoneura,terminalis,Lte
Geometroidea,Uraniidae,Lyssa,zampa,Lza
Mnesarchaeoidea,Mnesarchaeidae,Mnesarchaea,acuta,Mac5
Pyraloidea,Pyralidae,Macrotheca,sp.,Macro
Lasiocampoidea,Lasiocampidae,Malacosoma,americanum,Mame2
Zygaenoidea,Dalceridae,Minacraga,plata,Mata
Nepticuloidea,Nepticulidae,Manoneura,basidactyla,Mbal
Tineoidea,Tineidae,Mea,bipunctella,Mbtl
Micropterigoidea,Micropterigidae,Micropterix,calthella,Mca2
Bombycoidea,Endromidae,Mirina,christophi,Mchr
Gelechioidea,Gelechiidae,Monochroa,cleodoroides,Mcls
Papilionoidea,Hedylidae,Macrosoma,conifera,Mcon
Cossoidea,Sesiidae,Melittia,cucurbitae,Mcuc2
Zygaenoidea,Megalopygidae,Mesoscia,dyari,Mdyi
Geometroidea,Uraniidae,Metorthocheilus,emarginatus,Meem
Carposinoidea,Carposinidae,Meridarchis,excisa,Merid
Pyraloidea,Pyralidae,Monoloxis,flavicinctalis,Mfla
Zygaenoidea,Megalopygidae,Megalopyge,lapena,Mglp
Micropterigoidea,Micropterigidae,Micropterigidae gen. nov.,sp. nov.,Micr
incertae sedis,Millieriidae,Millieria,dolosalis,Mido
Noctuoidea,Erebidae,Micronoctua,karsholti,Mka
Drepanoidea,Drepanidae,Macrauzata,maxima,Mmax
Noctuoidea,Nolidae,Meganola,phylla,Mmi1
Cossoidea,Metarbelidae,Metarbela,naumanni,Mnau
Tineoidea,Tineidae,Moraphaga,bucephala,Mobu
Tineoidea,Tineidae,Myrmecozela,ochracella,Moch
Tineoidea,Tineidae,Moerarchis,inconcisella,Moin
Gelechioidea,Momphidae,Mompha,cephalonthiella,Mom
Gelechioidea,Momphidae,Mompha,sp. nov.,Momph
Thyridoidea,Thyrididae,Microsca,paullula,Mpll3
Gelechioidea,Autostichidae,Autostchidae gen.,sp.,Mqrc
Bombycoidea,Sphingidae,Manduca,sexta,Mqui
Lasiocampoidea,Lasiocampidae,Macrothylacia,rubi,Mrubi
Drepanoidea,Drepanidae,Macrocilix,mysticata,Msys
Pyraloidea,Crambidae,Neurophyseta,conantia,Muso
Bombycoidea,Anthelidae,Munychryia,senicula,Muyc
Papilionoidea,Hesperiidae,Mysoria,ambigua,Myam
Tineoidea,Psychidae,Narycia,duplicella,Nard
Pyraloidea,Crambidae,Noorda,blitealis,Nblt
Tineoidea,Tineidae,Nemapogon,cloacella,Nclo
Adeloidea,Adelidae,Nemophora,sp.,Nemo
Bombycoidea,Anthelidae,Nataxa,flavescens,Nfla
Pyraloidea,Crambidae,Niphopyralis,chionesis,Niph
Neopseustoidea,Neopseustidae,Neopseustis,meyricki,Nmec
Adeloidea,Adelidae,Nematopogon,magnus,Nmgs
Zygaenoidea,Megalopygidae,Norape,tener,Nora
Geometroidea,Sematuridae,Sematura,luna,Nothsp
Noctuoidea,Nolidae,Negeta,signata,Nsig
Gelechioidea,Blastobasidae,Neoblastobasis,spiniharpella,Nspin
Zygaenoidea,Megalopygidae,Podalia,contigua,Octg
Gelechioidea,Lecithoceridae,Odites,leucostola,Odle
Hepialoidea,Hepialidae,Oxycanus,diremptus,Odrp
Geometroidea,Geometridae,Odontothera,"sp. ""valdiviata AH01""",Odsp
Noctuoidea,Oenosandridae,Oenosandra,boisduvalii,Oeno
Bombycoidea,Endromidae,Obertheuria,formosibia,Ofo
Tortricoidea,Tortricidae,Olethreutes,fasciatana,Olfa
Bombycoidea,Saturniidae,Oxytenis,modestia,Omod
Geometroidea,Geometridae,Orthonama,obstipata,Onst
Yponomeutoidea,Yponomeutidae,Cedestis,subfasciella,Opin1
Nepticuloidea,Opostegidae,Gen. nov.,sp.,Opns
Tineoidea,Psychidae,Oreopsyche,tenella,Oreo
Drepanoidea,Drepanidae,Oreta,rosea,Oros
Yponomeutoidea,Glyphipterigidae,Orthotelia,sparganella,Ospa
Tineoidea,Tineidae,Opogona,thiadelia,Othi
Hepialoidea,Palaeosetidae,Ogygioses,sp.,Ound
Yponomeutoidea,Ypsolophidae,Ochsenheimeria,urella,Oure
